No.,Client,Project,QT No.,Preriod,Project Type,P&L Type,BD,Revenue 2023,Total Cost 2023, Revenue Total Project,Cost Total Project,progress,Amount Margin,(%) 
1890,บริษัท ยาสีฟัน (ประเทศไทย) จำกัด,Additional Commission PG Store Tourist Darlie Big C Rajdamri (1 - 31 August 2023) ,QT23090035,31-08-23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,5600.00,4038.30,5600.00,4038.30,100.00,1561.70,27.89
1891,"BD (Thailand) Co.,Ltd",Eucerin สมาคมร้านขายยา@นครสวรรค์ (Sep 2023),QT23090036,08-10-23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,31860.31,28134.62,31860.31,28134.62,100.00,3725.69,11.69
1892,"BS (Thailand) Co., Ltd.",Bridgestone Caravan-Operation Big-C Supercenter Hatyai (6-8 Oct 2023),QT23090041.1,6-8 Oct 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,172705.39,104332.53,172705.39,104332.53,100.00,68372.86,39.59
1893,"BS (Thailand) Co., Ltd.",Bridgestone Caravan-Operation Big-C Supercenter Rayong (13-15 Oct 2023),QT23090041.2,13-15 Oct 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,120757.82,83134.25,120757.82,83134.25,100.00,37623.57,31.16
1894,"BS (Thailand) Co., Ltd.",Bridgestone Caravan -Operation (Storefront)_CP. ค็อกพิท บุญยางบางปะกง (5-7 Oct 23),QT23090042.1,5-7 Oct 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,63921.74,42312.61,63921.74,42312.61,100.00,21609.13,33.81
1895,บริษัท  มาร์เก็ตติ้ง จำกัด (มหาชน),TARO PC Cheer Project 2023 @TT 20 Stores (16 - 31 Oct 2023),QT23090043.1,16-31 Oct 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,202301.00,140227.25,202301.00,140227.25,100.00,62073.75,30.68
1896,บริษัท  มาร์เก็ตติ้ง จำกัด (มหาชน),TARO PC Cheer Project 2023 @TT 20 Stores ( 1-30 Nov 2023),QT23090043.2,1-30 Nov 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,386097.80,281293.18,386097.80,281293.18,100.00,104804.62,27.14
1897,บริษัท  มาร์เก็ตติ้ง จำกัด (มหาชน),TARO PC Cheer Project 2023 @TT 20 Stores (1 - 31 Dec 2023 ),QT23090043.3,1-30 Dec 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,382924.30,284258.71,382924.30,284258.71,100.00,98665.59,25.77
1898,บริษัท  มาร์เก็ตติ้ง จำกัด (มหาชน),Commission TARO PC Cheer Project 2023 @TT 20 Stores ,QT23090043.5,30-11-23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,1100.00,1000.00,1100.00,1000.00,100.00,100.00,9.09
1899,บริษัท  มาร์เก็ตติ้ง จำกัด (มหาชน),Commission TARO PC Cheer Project 2023 @TT 20 Stores ( 1-30 Nov 2023),QT23090043.6,1-30 Nov 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,3850.00,3500.00,3850.00,3500.00,100.00,350.00,9.09
1900,บริษัท  มาร์เก็ตติ้ง จำกัด (มหาชน),Commission TARO PC Cheer Project 2023 @TT 20 Stores (1 - 31 Dec 2023),QT23090043.7,1-31  Dec 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,3850.00,3500.00,3850.00,3500.00,100.00,350.00,9.09
1901,TW Public Company Limited,THAI WAH PC CHEER @เกียรติสิน เอี่ยมรัตน์บ้านไผ่ (สาขาเปิดใหม่) 23-24 Sep 2023,QT23090044, 23-24 Sep 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,2860.00,2128.83,2860.00,2128.83,100.00,731.17,25.57
1902,บริษัท เจ เอส บี แอสเสท จำกัด,Laka x Beautrium Activity 2023,QT23090054,6- 14 Nov 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,117530.00,78531.73,117530.00,78531.73,100.00,38998.27,33.18
1903,บริษัท พี อาหารสัตว์ จำกัด ,SPM PET FAIR SOUNT EAST ASIA EVENT 2023,QT23090055,25-27 Oct 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1A,467000.00,292663.67,467000.00,292663.67,100.00,174336.33,37.33
1904,บริษัท โซโซ ไทย จำกัด,Transportation : University Road Tour: Cinema Line 30 SEP 2023 - Bangkok University,QT23090060,30 Sep -2 Oct 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1A,12432.00,5750.96,12432.00,5750.96,100.00,6681.04,53.74
1905,บริษัท ยาสีฟัน (ประเทศไทย) จำกัด,PC Cheer Darlie GT 12 Stores (6 - 29 October 2023),QT23090063.1,30 Sep  - 29 Oct 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,238919.68,126231.18,238919.68,126231.18,100.00,112688.50,47.17
1906,บริษัท ยาสีฟัน (ประเทศไทย) จำกัด,PC Cheer Darlie GT 12 Stores (3 - 26 November 2023),QT23090063.2,1-30 Nov 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,219960.32,121367.01,219960.32,121367.01,100.00,98593.31,44.82
1907,บริษัท ยาสีฟัน (ประเทศไทย) จำกัด,PC Cheer Darlie GT 12 Stores (3 December 2023),QT23090063.3,03-12-23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,1120.00,600.00,1120.00,600.00,100.00,520.00,46.43
1908,"BD (Thailand) Co.,Ltd",Eucerin Boots Wellness Event (Sep 2023),QT23090066,30-09-23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,11550.00,7063.72,11550.00,7063.72,100.00,4486.28,38.84
1909,บริษัท เซอร์วิสเซส จำกัด,Agoda Pizza Happy Hour 2023 - 20 Sep 2023,QT23090067,20-09-23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,37538.60,26165.52,37538.60,26165.52,100.00,11373.08,30.3
1910,บริษัท ดาดา (ประเทศไทย) จำกัด,PC Sampling HI-Q Base UHT @ MT&GT 40 STORES (OCT  23),QT23090077.1,1-31 Oct 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,487296.78,304440.91,487296.78,304440.91,100.00,182855.87,37.52
1911,บริษัท ดาดา (ประเทศไทย) จำกัด,PC Sampling HI-Q Base UHT @ MT&GT 40 STORES (NOV 23),QT23090077.2,Oct - Nov 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,473226.44,283921.40,473226.44,283921.40,100.00,189305.04,40
1912,บริษัท ดาดา (ประเทศไทย) จำกัด,PC Sampling HI-Q Base UHT @ MT&GT 40 STORES (DEC 23),QT23090077.3,Oct - Dec 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,542406.78,298882.71,542406.78,298882.71,100.00,243524.07,44.9
1913,KG Corporation Public Company Limited,PC CHEER KCG Festive 2023 ( NOV 23),QT23090078.1,1-130 Nov 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,173488.00,96241.78,173488.00,96241.78,100.00,77246.22,44.53
1914,KG Corporation Public Company Limited,PC CHEER KCG Festive 2023 (DEC 23),QT23090078.2,1-31 Dec 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,826512.00,564450.51,826512.00,564450.51,100.00,262061.49,31.71
1915,บริษัท  ฟู้ด  จำกัด,Coffee Dreamy Merchandiser Share NOV 23 ,QT23090079.1, Nov - Dec 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2B,444331.20,357977.96,444331.20,357977.96,100.00,86353.24,19.43
1916,บริษัท  ฟู้ด  จำกัด,Coffee Dreamy Merchandiser Share DEC 23,QT23090079.2,1-31 Dec 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2B,439000.00,356290.43,439000.00,356290.43,100.00,82709.57,18.84
1917,บริษัท วาสโปรดักส์ จำกัด,GINGEN MERCHANDISE SHARED SERVICE @ MT OCT 23,QT23090081.1,30 Sep  - 31 Oct 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2B,170841.25,125705.38,170841.25,125705.38,100.00,45135.87,26.42
1918,บริษัท วาสโปรดักส์ จำกัด,GINGEN MERCHANDISE SHARED SERVICE @ MT NOV 23,QT23090081.2,1-30 Nov 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2B,139158.75,105259.82,139158.75,105259.82,100.00,33898.93,24.36
1919,บริษัท วาสโปรดักส์ จำกัด,GINGEN MERCHANDISE SHARED SERVICE @ MT DEC 23,QT23090081.3,1-31 Dec 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2B,139158.75,95585.98,139158.75,95585.98,100.00,43572.77,31.31
1920,บริษัท เจ้าคุณ อินดัสทรี จำกัด (มหาชน),CHAO SUA Merchandise Shared  NOV 2023,QT23090083.1,1-30 Nov 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2B,200000.00,152460.63,200000.00,152460.63,100.00,47539.37,23.77
1921,บริษัท เจ้าคุณ อินดัสทรี จำกัด (มหาชน),CHAO SUA Merchandise Shared  DEC 2023,QT23090083.2,1-31 Dec 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2B,200000.00,158795.11,200000.00,158795.11,100.00,41204.89,20.6
1922,บริษัท วาสโปรดักส์ จำกัด,GINGEN CVS share service @BKK OCT 23,QT23090084.1,1-31 Oct 23,2.4 Merchandiser CVS  Share service,จัดเรียงสินค้า,BU2B,107542.25,64012.35,107542.25,64012.35,100.00,43529.90,40.48
1923,บริษัท วาสโปรดักส์ จำกัด,GINGEN CVS share service @BKK NOV 23,QT23090084.2,1-30 Nov 23,2.4 Merchandiser CVS  Share service,จัดเรียงสินค้า,BU2B,107542.25,58561.16,107542.25,58561.16,100.00,48981.09,45.55
1924,"TC F&B CO., LTD",KOE Tipco 1 - 20 October 2023,QT23090086.1,1-20 Oct 23,3.2 Key Account,จัดเรียงสินค้า,BU2A,349420.22,318704.43,349420.22,318704.43,100.00,30715.79,8.79
1925,"TC F&B CO., LTD",Incentive KOE Tipco 1 - 31 October 2023,QT23090086.2,1-31 Oct 23,3.2 Key Account,จัดเรียงสินค้า,BU2A,77760.00,72000.00,77760.00,72000.00,100.00,5760.00,7.41
1926,"TC F&B CO., LTD",KOE Tipco 21 - 31 October 2023,QT23090086.3,21 -31 Oct 23,3.2 Key Account,จัดเรียงสินค้า,BU2A,157953.38,144115.15,157953.38,144115.15,100.00,13838.23,8.76
1927,"TC F&B CO., LTD",PG Cheer Girl TIPCO (1 - 31 October 2023),QT23090088.1,1-31 Oct 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,210332.37,135135.99,210332.37,135135.99,100.00,75196.38,35.75
1928,"TC F&B CO., LTD",PG Cheer Girl TIPCO (1 - 30 November 2023),QT23090088.2,1-30 Nov 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,200110.50,138251.69,200110.50,138251.69,100.00,61858.81,30.91
1929,"TC F&B CO., LTD",PG Cheer Girl TIPCO (1 - 31 December 2023),QT23090088.3,1-31 Dec 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,211548.14,136208.45,211548.14,136208.45,100.00,75339.69,35.61
1930,"TC F&B CO., LTD",Tipco CVS BKK (1 - 31 October 2023),QT23090089.1,1-31 Oct 23,2.2 Merchandiser & RO,จัดเรียงสินค้า,BU2A,440546.67,306476.14,440546.67,306476.14,100.00,134070.53,30.43
1931,"TC F&B CO., LTD",Tipco CVS BKK (1 - 30 November 2023),QT23090089.2,1-30 Nov 23,2.2 Merchandiser & RO,จัดเรียงสินค้า,BU2A,440546.67,307763.27,440546.67,307763.27,100.00,132783.40,30.14
1932,"TC F&B CO., LTD",Tipco CVS BKK (1 - 31 December 2023),QT23090089.3,1-31 Dec 23,2.2 Merchandiser & RO,จัดเรียงสินค้า,BU2A,440546.67,301340.59,440546.67,301340.59,100.00,139206.08,31.6
1933,"TC F&B CO., LTD",Tipco Mer Share (1 - 31 October 2023),QT23090090.1,1-31 Oct 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,824454.72,690836.11,824454.72,690836.11,100.00,133618.61,16.21
1934,"TC F&B CO., LTD",Tipco Mer Share (1 - 30 November 2023),QT23090090.2,1-30 Nov 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,824454.72,635554.05,824454.72,635554.05,100.00,188900.67,22.91
1935,"TC F&B CO., LTD",Tipco Mer Share (1 - 31 December 2023),QT23090090.3,1-31 Dec 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,824454.72,659461.89,824454.72,659461.89,100.00,164992.83,20.01
1936,บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,Cockpit Owner- Activity Support Spot 60 sec for Makro and Lotus Radio,QT23090094,30-09-23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,9156.00,5026.34,9156.00,5026.34,100.00,4129.66,45.1
1937, Trading (Thailand) Ltd.,Products for EWS activity : Lot Aug 23  ,QT23090096,1-30 Sep 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,3540.79,1089.09,3540.79,1089.09,100.00,2451.70,69.24
1938,"BD (Thailand) Co.,Ltd",Nivea Premiums Internal Launch 50 Sets,QT23090097,30-09-23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,7590.00,4603.50,7590.00,4603.50,100.00,2986.50,39.35
1939,"BD (Thailand) Co.,Ltd",NIVEA Tie in Sep 2023,QT23090098,Sep - Oct 23,1.4 Digital,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,139100.00,66082.69,139100.00,66082.69,100.00,73017.31,52.49
1940, Trading (Thailand) Ltd.,Downy Printing VN Booklet,QT23090099,1-31 Oct 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1A,282960.00,210873.88,282960.00,210873.88,100.00,72086.12,25.48
1941,บริษัท เวนเวน เอ็นจิเนียริ่ง จำกัด  , VENCO BOOTH DESIGN at NOVA BUILD 2023_STICKER LOGO ,QT23090100,18-09-23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,2185.00,466.35,2185.00,466.35,100.00,1718.65,78.66
1942,"TAF Co.,Ltd.",Dole Merchandise Share @ Makro (OCT 2023),QT23090101,1-31 Oct 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2B,81466.00,56485.59,81466.00,56485.59,100.00,24980.41,30.66
1943,"TAF Co.,Ltd.",Dole Merchandise Share @ Makro (NOV 2023),QT23090102,1-30 Nov 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2B,97020.00,66358.27,97020.00,66358.27,100.00,30661.73,31.6
1944,บริษัท ที (ไทยแลนด์) จำกัด,First Pride Roadshow 2023,QT23090103,13 -26 Oct 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,1354505.00,1004262.10,1354505.00,1004262.10,100.00,350242.90,25.86
1945,บริษัท ส. จำกัด (มหาชน),PC CHEER S.Khonkean @Makro หาดใหญ่-เชียงใหม่  SEP 23,QT23090104.1,20-30 Sep 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,21748.16,10578.49,21748.16,10578.49,100.00,11169.67,51.36
1946,บริษัท ส. จำกัด (มหาชน),PC CHEER S.Khonkean @Makro หาดใหญ่-เชียงใหม่  OCT 23,QT23090104.2,1 Oct - 30 Nov 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,20516.16,10210.68,20516.16,10210.68,100.00,10305.48,50.23
1947,บริษัท โซโซ ไทย จำกัด,SONY University Road Tour Cinema Line on Sep 2023,QT23090105,25-09-23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1A,16352.00,8375.48,16352.00,8375.48,100.00,7976.52,48.78
1948,"BS (Thailand) Co., Ltd.",Bridgestone - Setup Booth at Kerry Siam Seaport at Country Club Pattaya on 11 Oct 23,QT23090107,11 Oct -17 Nov 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,11264.40,5453.13,11264.40,5453.13,100.00,5811.27,51.59
1949,บริษัท เซอร์วิสเซส จำกัด,Agoda Pizza Happy Hour 2023_Additional (Staff & Transportation),QT23090108,13-09-23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,8500.00,5573.08,8500.00,5573.08,100.00,2926.92,34.43
1950,บริษัท สุนทร จำกัด,PG Kaijae Rice Max Valu @BKK 6 STORES,QT23090109,31-ต.ค.-23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,61880.00,33857.70,61880.00,33857.70,100.00,28022.30,45.28
1951,บริษัท ซีซี เทรดดิ้ง (ไทยแลนด์) จำกัด,SINO PC จัดรายการ Event Sino Fair @ The Mall CDC ราชพฤกษ์ (16 - 30 Sep 23),QT23090111.1,16-30 Sep 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,12210.00,7306.39,12210.00,7306.39,100.00,4903.61,40.16
1952,บริษัท ซีซี เทรดดิ้ง (ไทยแลนด์) จำกัด,Sino PC Samyang @Tops 14 Stores (27-30 Sep 23),QT23090112.1,27-30 Sep 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,63470.00,36025.47,63470.00,36025.47,100.00,27444.53,43.24
1953,บริษัท ซีซี เทรดดิ้ง (ไทยแลนด์) จำกัด,Sino PC Samyang @Tops 14 Stores (1-30 Oct 23),QT23090112.2,1-31 Oct 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,403095.00,253223.38,403095.00,253223.38,100.00,149871.62,37.18
1954,MN (Thailand) Ltd.,Enfa clinic visibility 2023 _ Smart Project Phase 2_Nov 23,QT23090113.1,1-30 Nov 23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,117254.37,110000.00,117254.37,110000.00,100.00,7254.37,6.19
1955,MN (Thailand) Ltd.,Enfa clinic visibility 2023 _ Smart Project Phase 2_Dec 23,QT23090113.2,1-31 Dec 23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,501050.55,470000.00,501050.55,470000.00,100.00,31050.55,6.2
1956, Trading (Thailand) Ltd.,BA Downy at Makro (Oct 2023),QT23090114,1-30 Oct 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,380184.13,277699.85,380184.13,277699.85,100.00,102484.28,26.96
1957, Trading (Thailand) Ltd.,BA Downy at TT (Fri-Sun),QT23090115,1-30 Oct 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,622218.63,413369.68,622218.63,413369.68,100.00,208848.95,33.57
1958,"BD (Thailand) Co.,Ltd",NIVEA_T- POP TICKET GIVE AWAY,QT23090116,20 Sep - 6 Oct 23,1.4 Digital,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,25038.00,4819.71,25038.00,4819.71,100.00,20218.29,80.75
1959,บริษัท เอเอ จำกัด (มหาชน),Plantnery Booth X SQ1 ,QT23090117,22 Sep - 5 Oct 23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,120600.00,80143.27,120600.00,80143.27,100.00,40456.73,33.55
1960,บริษัท สยาม กรุ๊ป จำกัด ,Smooth E Transportation Premium @MT & TT 31 Stores,QT23090134,1-31 Oct 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,6609.60,2565.00,6609.60,2565.00,100.00,4044.60,61.19
1961,บริษัท เอเซีย อุตสาหกรรม จำกัด  ,ADDITIONAL AMPAWA จัดส่งและติดตั้ง POSM  ,QT23090135,1-30 Sep 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2B,672.00,525.00,672.00,525.00,100.00,147.00,21.88
1962,บริษัท เบท เบท จำกัด ,Mistine Merchandiser share at Watson's (1 - 31 Oct 2023),QT23090136.1,1-31 Oct 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,43792.00,35455.25,43792.00,35455.25,100.00,8336.75,19.04
1963,บริษัท เบท เบท จำกัด ,Mistine Merchandiser share at Watson's (1 - 30 Nov 2023),QT23090136.2,1-30 Nov 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,43792.00,32556.61,43792.00,32556.61,100.00,11235.39,25.66
1964,บริษัท เบท เบท จำกัด ,Mistine Merchandiser share at Watson's (1 - 31 Dec 2023),QT23090136.3,1-31 Dec 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,43792.00,30228.88,43792.00,30228.88,100.00,13563.12,30.97
1965,"BS (Thailand) Co., Ltd.",Cockpit FC Activity Support 5 Stores (Oct 2023),QT23090143,on Oct 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,108864.00,92147.55,108864.00,92147.55,100.00,16716.45,15.36
1966,บริษัท โซโซ ไทย จำกัด,SONY University Road Tour: Cinema Line on 24-Nov-23 @Assumption University,QT23090148,24-11-23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1A,12096.00,8000.00,12096.00,8000.00,100.00,4096.00,33.86
1967,บริษัท อินอิน (ประเทศไทย) จำกัด ,Hobart_Asean cafe show 2023,QT23090149,26-29 Oct 23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,120060.00,96586.83,120060.00,96586.83,100.00,23473.17,19.55
1968,GAD (Thailand) Ltd. ,Cetaphil Activity at Zpell Rangsit,QT23090151 ,Sep  -Oct 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,81704.00,48938.60,81704.00,48938.60,100.00,32765.40,40.1
1969,บริษัท ทีเอล จำกัด ,Lotte_Sampling Troop,QT23090152,27 Nov - 3 Dec 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,431825.00,296352.70,431825.00,296352.70,100.00,135472.30,31.37
1970,"BD (Thailand) Co.,Ltd",NIVEA Tie in Oct 2023,QT23090155,1-31 Oct 23,1.4 Digital,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,261079.95,128185.09,261079.95,128185.09,100.00,132894.86,50.9
1971,"BS (Thailand) Co., Ltd.",BSN & WSP Meeting 2023 ,QT23090160,1-31 Dec 23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,350463.05,186654.52,350463.05,186654.52,100.00,163808.53,46.74
1972,"BS (Thailand) Co., Ltd.",BSN & WSP Meeting 2023 (Premium),QT23090160.1,1-31 Dec 23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,176754.07,176754.07,176754.07,176754.07,100.00,0.00,0
1973,GAD (Thailand) Ltd. ,Cetaphil PG Uniform for Booth Activity,QT23090161,30-09-23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,34720.00,20579.33,34720.00,20579.33,100.00,14140.67,40.73
1974, Trading (Thailand) Ltd.,P&G PR World Diabetes Day 2023,QT23090162,1-31 Dec 23,1.4 Digital,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,388800.00,302395.00,388800.00,302395.00,100.00,86405.00,22.22
1975,"SGW CO., LTD.",Weber Stage Rentle,QT23090163,22-09-23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,12880.00,5707.35,12880.00,5707.35,100.00,7172.65,55.69
1976,"BS (Thailand) Co., Ltd.",Bridgestone Caravan R611 - Premium & Production (Additional),QT23090164,30-09-23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,5770.00,2108.65,5770.00,2108.65,100.00,3661.35,63.45
1977,"BS (Thailand) Co., Ltd.",Bridgestone Caravan R611 (Premium),QT23090164.1,30-09-23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,6650.00,6650.00,6650.00,6650.00,100.00,0.00,0
1978,บริษัท แอนนา จำกัด,LONG BEACH SYRUP MERCHANDISER SHARED @Makro 15 Stores OCT 23,QT23090173.1,1-31 Oct 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2B,14227.50,11440.35,14227.50,11440.35,100.00,2787.15,19.59
1979,บริษัท แอนนา จำกัด,LONG BEACH SYRUP MERCHANDISER SHARED @Makro 15 Stores NOV 23,QT23090173.2,1-30 Nov 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2B,13537.50,10350.70,13537.50,10350.70,100.00,3186.80,23.54
1980,บริษัท แอนนา จำกัด,LONG BEACH SYRUP MERCHANDISER SHARED @Makro 15 Stores DEC 23,QT23090173.3,1-31 Dec 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2B,13537.50,8851.18,13537.50,8851.18,100.00,4686.32,34.62
1981,FC (Thailand) PCL.,Foremost Distibutor Conference 2024 ,QT23090177,31 Dec 23 - Jan 24,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,2000.19,1500.00,2000.19,1500.00,100.00,500.19,25.01
1982,"BD (Thailand) Co.,Ltd",Eucerin Anti Acne Mark Serum Event at Eveandboy [Sep 2023]_Additional MC,QT23090179,22-24 Sep 23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,14445.00,9500.00,14445.00,9500.00,100.00,4945.00,34.23
1983,บริษัท เงินเงิน จำกัด (มหาชน),Tidlor Opening New Branch on Oct 23,QT23090180,31-ต.ค.-23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,22820.00,14421.48,22820.00,14421.48,100.00,8398.52,36.8
1984,TW Public Company Limited,THAI WAH PC CHEER @ร้านซุปเปอร์ชีป (13-17 Oct 2023),QT23090182,13-17 Oct 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,7458.00,5015.74,7458.00,5015.74,100.00,2442.26,32.75
1985,บริษัท นมพลัส จำกัด,Hanging Tray (DNA 20-22 Oct),QT23090185,20 -22 Oct 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,152276.25,84998.97,152276.25,84998.97,100.00,67277.28,44.18
1986,บริษัท นม จำกัด,Hanging Tray  (DNa 27-29 Oct 23),QT23090186,27-29 Oct 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,113688.75,63681.41,113688.75,63681.41,100.00,50007.34,43.99
1987,บริษัท เอเอ จำกัด (มหาชน),Plantnery Roadshow x SQ1_Additional,QT23090188,22 Sep - 5 Oct 23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,5600.00,4000.00,5600.00,4000.00,100.00,1600.00,28.57
1988,บริษัท เซอร์วิสเซส จำกัด,Agoda Pizza Happy Hour 2023 - 27 Sep 2023,QT23090190,27-09-23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,107875.45,72334.30,107875.45,72334.30,100.00,35541.15,32.95
1989,บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,Cockpit Owner - Activity Support Car Parade -Cockpit Udon Thani (29 Sep - 2 Oct 2023),QT23090191,29 Sep - 2 Oct 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,11340.00,9590.02,11340.00,9590.02,100.00,1749.98,15.43
1990,"BS (Thailand) Co., Ltd.",Bridgestone - Setup Booth at Novotel Rayong Star Convention Centre (E.T.A.),QT23090192,28-10-23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,8344.08,6488.46,8344.08,6488.46,100.00,1855.62,22.24
