No.,Client,Project,QT No.,Preriod,Project Type,P&L Type,BD,Revenue 2023,Total Cost 2023, Revenue Total Project,Cost Total Project,progress,Amount Margin,(%) 
54, Trading (Thailand) Ltd.,Neurobion Warehouse Rental on Jun 23,QT22060047.12,1-30 June 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,3240.00,987.28,3240.00,987.28,100.00,2252.72,69.53
55, Trading (Thailand) Ltd.,Neurobion Warehouse Rental on Jan 23,QT22060047.7,1-31 Jan 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,3240.00,1920.19,3240.00,1920.19,100.00,1319.81,40.73
56, Trading (Thailand) Ltd.,Neurobion Warehouse Rental on Feb 23,QT22060047.8,1 -28 Feb 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,3240.00,921.45,3240.00,921.45,100.00,2318.55,71.56
57, Trading (Thailand) Ltd.,Neurobion Warehouse Rental on Mar 23,QT22060047.9,1-31 Mar 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,3240.00,1020.19,3240.00,1020.19,100.00,2219.81,68.51
58, Trading (Thailand) Ltd.,Vick Booth Roadshow on May 23 ,QT22060051.11,1-31  May 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,115046.00,111229.12,115046.00,111229.12,100.00,3816.88,3.32
59, Trading (Thailand) Ltd.,Vick Booth Roadshow on Jan 23,QT22060051.7,1-31 Jan 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,15246.00,14402.31,15246.00,14402.31,100.00,843.69,5.53
60, Trading (Thailand) Ltd.,Vick Booth Roadshow on Feb 23,QT22060051.8,1 -28 Feb 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,62536.00,53463.90,62536.00,53463.90,100.00,9072.10,14.51
61, Trading (Thailand) Ltd.,Vick Booth Roadshow on Mar 23,QT22060051.9,1-31 Mar 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,100444.00,56012.12,100444.00,56012.12,100.00,44431.88,44.24
62, Trading (Thailand) Ltd.,Vicks Warehouse Rental (Apr 23),QT22060055.10,1-30 April 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,3240.00,1316.37,3240.00,1316.37,100.00,1923.63,59.37
63, Trading (Thailand) Ltd.,Vicks Warehouse Rental (May 23) ,QT22060055.11,1-31 May 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,3240.00,1360.25,3240.00,1360.25,100.00,1879.75,58.02
64, Trading (Thailand) Ltd.,Vicks Warehouse Rental (Jun 23),QT22060055.12,1-30 June 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,3240.00,1316.37,3240.00,1316.37,100.00,1923.63,59.37
65, Trading (Thailand) Ltd.,Vicks Warehouse Rental (Jan 23),QT22060055.7,1-31 Jan 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,3240.00,2160.25,3240.00,2160.25,100.00,1079.75,33.33
66, Trading (Thailand) Ltd.,Vicks Warehouse Rental (Feb 23),QT22060055.8,1 -28 Feb 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,3240.00,1228.62,3240.00,1228.62,100.00,2011.38,62.08
67, Trading (Thailand) Ltd.,Vicks Warehouse Rental (Mar 23),QT22060055.9,1-31 Mar 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,3240.00,1360.25,3240.00,1360.25,100.00,1879.75,58.02
68,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,GSK PG Permanent (VMS) 1-15 Jan 2023,QT22060085.1,1-15 Jan 2023,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,194108.20,171206.23,194108.20,171206.23,100.00,22901.97,11.8
69,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,Commission GSK PG Permanent (VMS) on May 23,QT22060085.10,1-31 May 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,457699.00,416090.00,457699.00,416090.00,100.00,41609.00,9.09
70,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,GSK PG Permanent (VMS) 16 May - 15 Jun 2023,QT22060085.11,16 May - 15 June 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,404242.30,356560.72,404242.30,356560.72,100.00,47681.58,11.8
71,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,GSK PG Permanent (VMS) 16 - 30 Jun 2023,QT22060085.12,16-30 June 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,198570.90,184201.85,198570.90,184201.85,100.00,14369.05,7.24
72,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,Commission PG GSK Permanent (VMS) on Jun 23,QT22060085.13,1-30 June 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,392601.00,356910.00,392601.00,356910.00,100.00,35691.00,9.09
73,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,Commission GSK PG Permanent (VMS) on Jan 22,QT22060085.2,1-31 Jan 2023,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,391529.60,355936.00,391529.60,355936.00,100.00,35593.60,9.09
74,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,GSK PG Permanent (VMS) 16 Jan - 15 Feb 2023,QT22060085.3,16 Jan - 15 Feb 2023,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,394339.00,349532.69,394339.00,349532.69,100.00,44806.31,11.36
75,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,Commission GSK PG Permanent (VMS) on Feb 23,QT22060085.4,1 -28 Feb 2023,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,448426.00,407660.00,448426.00,407660.00,100.00,40766.00,9.09
