ลำดับที่,BU,Job,QT, Project Name,Client/Owner,Status,Amount Rev,Start date,End date,Year,month-ended,Quarter,Business unit,monthyear, Value ,Cr.Term range,,,,,,,,,,,
53,BU 1.3,1.3 Logistic,QT22110106.12,Danone HN Logistics Warehouse on Dec 23,บริษัท ดาดา (ประเทศไทย) จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 15,120.00 ",01-12-23,31-12-23,2023,12,Q4,BU1A,Dec," 15,120.00 ",30-60 วัน,,,,,,,,,,,
54,BU 1.3,1.3 Logistic,QT22110106.2,Danone HN Logistics Warehouse on Feb 23,บริษัท ดาดา (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 15,120.00 ",01-02-23,28-02-23,2023,2,Q1,BU1A,Jan," 155,304.00 ",30-60 วัน,,,,,,,,,,,
55,BU 1.3,1.3 Logistic,QT22110106.2,Danone HN Logistics Warehouse on Feb 23,บริษัท ดาดา (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 15,120.00 ",01-02-23,28-02-23,2023,2,Q1,BU1A,Feb," 319,248.00 ",30-60 วัน,,,,,,,,,,,
56,BU 1.3,1.3 Logistic,QT22110106.3,Danone HN Logistics Warehouse on Mar 23,บริษัท ดาดา (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 15,120.00 ",01-03-23,31-03-23,2023,3,Q1,BU1A,Feb," 77,760.00 ",30-60 วัน,,,,,,,,,,,
57,BU 1.3,1.3 Logistic,QT22110106.4,Danone HN Logistics Warehouse on April 23,บริษัท ดาดา (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 15,120.00 ",01-04-23,30-04-23,2023,4,Q2,BU1A,Feb," 155,304.00 ",30-60 วัน,,,,,,,,,,,
58,BU 1.3,1.3 Logistic,QT22110106.4,Danone HN Logistics Warehouse on April 23,บริษัท ดาดา (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 15,120.00 ",01-04-23,30-04-23,2023,4,Q2,BU1A,Mar," 319,248.00 ",30-60 วัน,,,,,,,,,,,
59,BU 1.3,1.3 Logistic,QT22110106.5,Danone HN Logistics Warehouse on May 23,บริษัท ดาดา (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 15,120.00 ",01-05-23,31-05-23,2023,5,Q2,BU1A,Mar," 77,760.00 ",30-60 วัน,,,,,,,,,,,
60,BU 1.3,1.3 Logistic,QT22110106.6,Danone HN Logistics Warehouse on June 23,บริษัท ดาดา (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 15,120.00 ",01-06-23,30-06-23,2023,6,Q2,BU1A,Mar," 155,304.00 ",30-60 วัน,,,,,,,,,,,
61,BU 1.3,1.3 Logistic,QT22110106.7,Danone HN Logistics Warehouse on July 23,บริษัท ดาดา (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 15,120.00 ",01-07-23,31-07-23,2023,7,Q3,BU1A,Jan," 216,634.50 ",30-60 วัน,,,,,,,,,,,
62,BU 1.3,1.3 Logistic,QT22110106.8,Danone HN Logistics Warehouse on Aug 23,บริษัท ดาดา (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 15,120.00 ",01-08-23,31-08-23,2023,8,Q3,BU1A,Feb," 216,634.50 ",30-60 วัน,,,,,,,,,,,
